Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
NCLH,Norwegian Cruise Line Holdings Ltd.,13.11,+0.20,+1.55%,19.066M,14.288M,5.532B,N/A
AGNC,AGNC Investment Corp.,9.96,+0.07,+0.71%,18.848M,11.723M,5.728B,N/A
CMCSA,Comcast Corporation,36.24,+0.35,+0.98%,21.212M,19.633M,152.79B,29.46
NU,Nu Holdings Ltd.,4.6100,+0.1700,+3.83%,17.359M,27.403M,21.6B,N/A
PCG,PG&E Corporation,16.16,+0.30,+1.89%,16.969M,13.606M,36.82B,19.01
LCID,"Lucid Group, Inc.",7.83,+0.43,+5.81%,17.22M,31.675M,14.333B,N/A
DNA,"Ginkgo Bioworks Holdings, Inc.",1.3200,-0.0100,-0.75%,16.951M,21.103M,2.736B,N/A
SLB,Schlumberger Limited,46.18,+0.86,+1.90%,16.107M,8.92M,65.927B,21.09
PLUG,Plug Power Inc.,11.80,0.00,0.00%,17.079M,17.022M,7.002B,N/A
AFRM,"Affirm Holdings, Inc.",9.96,+0.12,+1.22%,16.26M,18.853M,2.928B,N/A
MRVL,"Marvell Technology, Inc.",40.36,+2.74,+7.28%,16.174M,11.912M,34.584B,N/A
SIRI,Sirius XM Holdings Inc.,3.6100,-0.0300,-0.82%,19.791M,16.17M,14.045B,11.28
BP,BP p.l.c.,35.62,-0.23,-0.64%,16.053M,9.412M,114.914B,N/A
WU,The Western Union Company,10.72,+0.19,+1.76%,15.869M,7.651M,4.006B,4.39
GRAB,Grab Holdings Limited,2.8400,-0.0100,-0.35%,15.952M,16.501M,10.906B,N/A
KO,The Coca-Cola Company,60.30,+0.33,+0.55%,15.522M,13.103M,260.876B,27.66
COIN,"Coinbase Global, Inc.",67.78,+3.31,+5.13%,15.523M,18.449M,17.752B,6.93
HAL,Halliburton Company,31.00,+0.59,+1.94%,15.34M,8.603M,28.028B,19.62
SHOP,Shopify Inc.,44.67,+1.13,+2.60%,15.36M,20.199M,57.026B,N/A
HPE,Hewlett Packard Enterprise Company,14.31,+0.52,+3.77%,14.801M,13.155M,18.544B,22.02
CFG,"Citizens Financial Group, Inc.",32.59,+1.08,+3.43%,14.838M,4.589M,15.784B,8.05
MRO,Marathon Oil Corporation,22.01,+0.75,+3.53%,14.895M,10.004M,13.859B,4.58
MU,"Micron Technology, Inc.",56.57,+2.44,+4.51%,14.794M,14.332M,61.728B,10.19
DVN,Devon Energy Corporation,46.27,+1.15,+2.55%,14.151M,9.83M,30.261B,5.53
CSX,CSX Corporation,29.33,+0.35,+1.21%,14.008M,13.124M,60.496B,15.20
V,Visa Inc.,217.45,+1.08,+0.50%,13.645M,5.5M,457.034B,30.71
DAL,"Delta Air Lines, Inc.",33.71,+0.48,+1.44%,13.404M,9.749M,21.616B,17.20
RBLX,Roblox Corporation,45.33,+2.61,+6.11%,13.361M,13.36M,27.431B,N/A
ABEV,Ambev S.A.,2.7100,+0.0600,+2.26%,13.293M,24.934M,42.786B,15.06
XPEV,XPeng Inc.,8.33,+0.23,+2.84%,13.058M,17.091M,7.137B,N/A
AIG,"American International Group, Inc.",50.19,+2.55,+5.35%,13.051M,4.699M,37.002B,4.11
CVX,Chevron Corporation,154.29,+0.49,+0.32%,12.795M,8.198M,294.18B,8.82
MS,Morgan Stanley,87.01,+1.62,+1.90%,15.295M,7.308M,146.346B,14.90
PINS,"Pinterest, Inc.",26.53,+1.50,+5.99%,12.171M,11.876M,18.143B,N/A
LU,Lufax Holding Ltd,1.8400,-0.0400,-2.13%,12.231M,16.486M,4.217B,3.68
